"","GSM128731","GSM128734","GSM131685","GSM131686","GSM131687","GSM131688","GSM131689","GSM131690","GSM131691","GSM131692","GSM131693","GSM133816","GSM133817","GSM133818","GSM133819","GSM133820","GSM133821"
"AT2G24570",6.74709343115779,6.66489861109396,5.70807405387555,5.88853899623703,5.99404949687058,6.7802152441855,6.69145096034723,6.60220696864056,6.94687811880404,6.74943907721004,6.63684108790441,6.41411948404578,6.45774923068623,6.03876899124991,6.34460464166345,5.9933464250712,6.70858702555512
"AT2G26140",9.22788145020405,9.26662188330648,7.80933646700547,7.68846903792075,7.54570736946176,8.69992348691099,8.60890021828744,8.54939125420869,8.72560517403246,8.68900069254832,8.64396095021049,7.91098384294793,8.11727160103946,7.78904900157389,7.64686243123244,7.86445637237735,8.38014084629653
"AT2G25510",5.08708661986496,4.83737397965854,11.990091558729,11.9898899124914,12.1204788573109,12.3759455800003,12.3166913862841,12.2967609747166,12.0264103251932,12.1960390601495,12.3137011072675,13.0200445267897,13.9592145259403,13.3760479084021,13.9363795817264,13.5031199182939,13.7738520036621
"AT1G10270",7.38067467913992,7.4774370492925,6.01276754600958,5.9163880480896,6.24835933326885,6.81532931091113,6.84888544686921,6.91121120599245,6.67179508292257,6.39698583563198,6.50367826085233,6.04919191589559,5.63141595241367,5.82888651021119,5.67691905107622,5.97987557082984,6.22276599877445
"AT2G25490",10.6285658210216,10.3677522884005,8.58738979639027,8.67907185947584,8.68379152871517,9.77916230370906,9.98624697779545,9.62189296727133,10.15881407604,10.0509628037933,10.2822943264538,8.81468060869444,8.55232769911836,9.51762418807142,8.76118537256349,9.0303913406294,9.64304589691823
"AT1G10910",6.11709780291967,5.8929421915249,7.84071705195256,7.83725735476926,7.9034915031549,6.85676499096334,7.18178521331848,7.38293513967463,7.05548931181769,7.01028629298608,6.8584093249341,6.74307806139667,6.18122003756346,7.29161408099829,6.90874688467459,6.98814515425144,6.6733139114487
"AT2G25800",8.49081829070735,8.54621330484493,7.15960410258153,6.95271338830116,7.07187134955288,7.51685902296498,7.38516931474085,7.33725926703805,7.7051892566033,7.65097924437906,7.75152099103185,7.39795377715854,7.41397152874595,7.38858175414984,6.93798344467363,7.41168660988486,7.67554113422916
"AT2G25600",4.65069915319155,5.40040635906459,5.80235521070835,5.93823543773274,6.02274248222722,4.49958894165906,4.87545868907474,4.72883445933742,4.69746271318335,4.6865262184931,4.69992668381036,5.17438847718982,5.02384802625798,4.73384869266055,4.6269107777967,4.46266933689265,4.42919499153655
"AT2G26450",5.56902080104369,6.5258427560554,7.81948251643607,8.06750383712157,8.01666322109984,5.56301477789598,5.41958147155874,5.39288708121936,5.66132555096964,5.55263662254488,5.5917190015198,6.2271137028496,5.34010651549008,5.70204550067707,5.42276995011025,5.59538781428455,5.59411091390083
"AT1G10490",8.25380846645437,8.61024955453765,6.55879376746597,6.47848857673586,6.53788199203814,6.67512239112015,6.72400072523109,6.90450212487154,6.94183061317106,6.6535084717704,6.84205308145929,7.15286668296094,7.48904907753327,6.74231401455105,7.15648731888275,6.71926729621816,7.43959090966494
"AT2G24920",4.90718169434698,4.92135096785679,5.46440268525372,5.30071009827224,5.34827719408173,5.25669641993085,5.19237651646249,5.32851655974665,5.41938124941923,5.26339991172715,5.27654229890967,5.1794908440107,5.15266694703937,5.00022595466364,5.13256044323715,5.11671709774622,5.17239114354202
"AT2G27540",3.56428585900935,3.76524484623762,3.91950053912825,3.87104369350742,3.90432943813595,3.82835003675066,3.85205288222865,3.80516948120717,3.85433619041811,3.81462452516883,3.81178140710863,3.99722100171344,3.80526028274836,3.76531825371683,3.75935602936742,3.85999414487474,3.82856816495095
"AT2G26490",5.19620475324884,6.30513185930032,6.90436564495457,6.99032756433286,6.85243967516088,5.16293288667441,4.91804806918532,5.10986044596051,5.13488084353292,5.00989644237217,5.17041882409672,5.25997014708416,5.30279720139955,5.06949286736704,6.14197464555338,5.59782552248002,5.58754488812824
"AT2G24640",7.41246893582514,7.34051772944884,6.34332457657184,6.3467626520945,6.37732270898507,6.57073487238199,6.59898255568588,6.7568606143489,6.58029092696741,6.70738945477135,6.73132271604346,6.8198229209471,6.85263585043706,6.46175674773705,6.49630642243487,6.57810584090038,6.54417089673833
"AT2G26410",5.29878056041248,6.39879622779736,7.57262828261728,7.82065068087923,7.6924948957634,4.78200760747171,4.75806331922416,4.59738965158517,4.6233745402858,4.44210712705485,4.46466718507008,4.5176804589094,3.96642481186699,4.32917286808117,4.0510927046186,4.26292665209466,4.53278616622534
"AT2G29510",8.60967398945736,8.43019449846979,7.68300635827268,7.69188064252757,7.57093233709526,7.78363863708747,7.65807206664596,7.6432737278084,7.99576964131611,7.80261321658943,7.67172272919011,7.69835464369523,8.35700376113988,7.93996314790108,8.03354679828544,7.75375445091421,7.99450854238837
"AT2G31500",5.63467311168799,7.41716240150096,7.96740567539738,8.46696444826004,8.25928635829047,5.38998281711662,4.91202914444948,5.29946335182681,5.21093925219431,4.82762950446476,5.1635267904436,5.02409543116091,4.21989781212571,4.97526283075562,4.62436453512069,4.46467542944876,4.97211323702057
"AT1G10730",4.73396822770425,5.19419362898369,6.17273732826928,6.20422291319814,5.92196067564252,6.36952725644497,6.51056361281045,6.34717171495607,6.31911315972273,6.46006254875826,6.4248607538855,7.02609758723921,7.287730407778,6.43257296883557,6.61751321696339,6.50117502773633,6.43563691818145
"AT2G29040",3.89190797336618,3.99261451521307,4.41850702369088,4.22121207821214,4.12162059599939,4.20864829804155,4.12036291816156,4.1866978071396,3.972924724379,3.95188712572523,4.06792838565837,4.00478786257516,4.10756792419144,4.14134083548649,3.98159035450859,4.20212466265525,3.89482000154162
"AT2G28355",6.28001133051266,4.37434823832488,4.51100175216476,4.34796489543247,4.55964572846316,4.15870260394298,4.28220823286638,4.27520419181739,4.51707440687222,4.56722763767418,4.62796603042056,4.54345325460543,4.55251990346219,4.55386482425629,5.26751563775013,4.46401529917632,4.61292484688075
"AT2G30520",8.11960546156599,8.22983183999226,6.13918595797593,5.87512106736833,6.00818565918929,5.05953550691765,5.00251564281164,4.99522894746597,5.50915207640203,4.84115833049039,5.59666247330282,6.06613904090581,5.9151444164279,6.36031148771547,6.25029560703745,6.27753604512945,6.18174838859015
"AT2G30000",6.40279334084078,6.38187482973529,8.30714071488475,8.38711984067492,8.3922444339048,8.43930877055518,8.41812841555378,8.15978082209977,8.25809037501629,8.2593165950088,8.23712396456556,8.30495313924827,7.71510086117563,8.48900738911956,8.64835176771711,8.77674516981465,8.11583709897841
"AT2G31290",4.30461781055993,4.42531870335787,4.98931763736463,4.61660990952359,4.4165506597736,4.57446433994221,4.56782672392305,4.83450634600412,4.81282841830558,4.63542260536568,4.86214255786338,4.29629226681132,4.20105879788767,4.28541931271536,4.24584458572462,4.57473045918663,4.68672110855693
"AT1G10480",5.32571148105635,5.22082946208891,4.56255301863832,4.5514117996636,4.66828264045093,5.13914366636997,5.04500312622968,5.17108312480256,5.07487366216998,5.21630832639939,5.05988436796964,5.07277574363576,4.52045549955053,4.75802079568907,4.5547881181636,5.03875873028798,5.03512913106544
"AT2G29410",4.27112471823239,4.75844479868186,5.40243652659448,5.7989496111575,5.3055753067383,5.30183724778988,5.21928594043269,5.20139923236482,4.45870684916009,4.6819551853916,4.69505695991546,4.56221451774521,4.58700452023138,5.00076328924897,5.27120889737039,5.98341926940311,4.99633688354292
"AT2G30120",5.1247906701065,4.83124041936744,4.15268978650917,4.34243861982845,4.1692126172724,4.42034069602172,4.24590555228955,4.19881965976509,4.41951403282006,4.27025090540154,4.28754647309593,4.20626658160609,4.11333864814267,4.15879168259572,3.96274944399061,4.18287889974051,4.10748219323456
"AT2G27900",7.82971388392686,7.65159189633358,6.66856474329077,6.37741432553031,6.34535476733453,6.74542015066841,6.8473213123989,6.77142926775312,6.776172221752,7.00045848344793,6.82011388945414,6.80662877832955,7.41846627445917,6.95934970916843,6.8948103267219,6.84157590421523,7.51151880470043
"AT2G29140",7.5512535856572,7.73861896344325,5.47631341926558,5.53200922440748,5.65165125890536,7.37143739550536,7.12829832811932,7.24063623542265,7.53131972319219,7.37846773093707,7.37382877798902,6.09163274697786,5.86627152163637,6.04488174854818,6.17374292258272,6.3998259487958,6.95177048932287
"AT2G30110",10.2519863200323,10.0516277944921,8.92638233663729,8.82111017059166,9.14268463827277,10.3622794942656,10.304611635755,10.3207436946238,10.5373608838457,10.3984594436,10.3949117772256,9.8057351241153,9.61626902655493,9.85514681011827,10.012726662048,9.86845242074643,10.5106016901273
"AT2G30790",5.04687247840948,5.2439221546267,6.89624266475176,6.84145695891227,7.10480508662258,6.11366513396171,6.05128935522333,5.85409627355475,5.80544247495889,5.70088222607372,5.78467631425364,6.00761710144067,5.62385309265862,6.98567739360755,6.04081563510532,6.48736882424005,6.12462473190255
"AT2G29440",4.28674289036823,4.59324568127847,5.27773927394988,5.28748551239367,5.08126579110747,4.26874736286402,4.35652840413809,4.38232390178209,4.31211028704014,4.1985411458981,4.55331383749058,4.75254531476496,4.67999707500593,5.08979867205156,4.94991374398282,4.4981053004305,4.44542533116597
